LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2056,2056,0,47161.0,233.02289806508168,271.0514128367726,0.0,27.0,27,122.50971162912722,1,,254.0590405904059,255.0,0.0,255.0,1.19799E7,15.461704779854687,,,0.9988086376595792,16.42170871944112,-0.11119565124728589,0.0231746707840965,130.80170487491336,114.81361244529758,0.004687435555656307,1.1392525859007636,47150.999999999985,906.054686907001,0.7217585701545068,0.9762414981831731,4.172621171659152
ID2060,2060,0,47417.0,233.84344616682483,270.5258849168688,0.0,28.0,28,122.852200848843,1,,254.03728935102188,255.0,0.0,255.0,1.204467E7,15.638719959658182,,,0.9987305883809735,16.23380613363807,0.11434760844666499,-0.20634658684069582,130.7586060143827,115.55094609019235,-0.03273141208445128,1.13160999921472,47415.00000000008,920.1733371553672,0.703698019651275,0.9746746973091884,4.225827525224389
ID2057,2057,0,48058.0,233.5092038688154,270.1921316285022,0.0,29.0,29,123.68433197074685,1,,254.38988869239571,255.0,0.0,255.0,1.222725E7,12.458305534350071,,,0.9987354484463848,20.40638204485242,0.38520865053560704,-0.515734439625468,132.2750615985663,115.73410165586527,-0.03397936176806875,1.1429220921581567,48059.50000000007,939.6215397077578,0.684042655695588,0.9778526084479546,4.286110267431478
ID2072,2072,0,48230.0,233.05894022340192,270.3178362088034,0.0,30.0,30,123.8958270133709,1,,253.54043965159684,255.0,0.0,255.0,1.222572E7,19.237080000601143,,,0.9987633128959857,13.171623112592847,-0.0534989082647564,-0.8882840083996405,131.96360005986247,116.36559528596247,-0.01916961991055602,1.1340430969786963,48224.00000000002,943.9497800157767,0.6801039786013735,0.9745273772595464,4.298503396886986
ID2084,2084,0,48788.0,234.18099274641847,270.2747563063109,0.0,31.0,31,124.60864898950003,1,,254.44065190651907,255.0,0.0,255.0,1.2411615E7,11.929954367712915,,,0.9988775003597247,21.315904412046095,0.7405482159124264,-0.5630209287749753,132.19644610977159,117.03685660728188,-0.01602241283924272,1.1295283378411114,48780.50000000007,946.3308308557228,0.6844947678572784,0.9749178083560689,4.284694535159286
ID2081,2081,0,49438.0,233.64232467226097,269.9653927813163,0.0,32.0,32,125.46718862403581,1,,254.2728725125384,255.0,0.0,255.0,1.2573285E7,13.597519407978897,,,0.9986085306270207,18.686926288963253,0.2135211137640754,-0.093296363341791,134.09301751090655,117.78336715499304,-0.04899867010199563,1.1384715919562,49455.000000000044,908.7517480277642,0.7525399352615408,0.979006443566827,4.086393230698883
ID2075,2075,0,49783.0,233.7955983687245,269.9690653648606,0.0,33.0,33,125.87498244119263,1,,254.4567816877349,255.0,0.0,255.0,1.2661515E7,11.757055815559518,,,0.9985113048788173,21.626778022000366,0.2671198417612499,-0.3502479958281825,133.64623369783507,118.4109297327256,-0.03653323310475584,1.1286646764745303,49777.000000000015,933.1332923511159,0.7183750059361796,0.9729861803397255,4.182436202937155
ID2073,2073,0,49754.0,234.3910461260175,270.18278564968347,0.0,34.0,34,125.84716280899809,1,,254.1081407035176,255.0,0.0,255.0,1.264188E7,15.054343660229096,,,0.9988846031035148,16.86997132794029,-0.09718998338488906,0.251096112242609,132.80175459348462,118.96378023420053,-0.08060220208510159,1.1163209031525534,49754.9999999999,948.0229495430463,0.6956789987964368,0.9738601109795343,4.250113082868515
ID2080,2080,0,50475.0,232.93577936224995,270.37409057899254,0.0,35.0,35,126.77328643456242,1,,254.55545870560036,255.0,0.0,255.0,1.2849705E7,10.637793703895984,,,0.9990613242330232,23.918110951229217,0.4978840230682573,-0.07564142313358607,135.41377452310536,118.76253165847605,-0.13204943308082734,1.1402061966185857,50490.00000000006,901.7376801885976,0.7802877693063378,0.9745693191140289,4.013077364824259
ID2083,2083,0,50830.0,233.91065297167538,270.52686854972796,0.0,36.0,36,127.18878048275138,1,,254.21221959858323,255.0,0.0,255.0,1.2919065E7,14.151584544463562,,,0.9986193156461484,17.95110675763082,0.151612120811297,-0.8775870476751267,134.9303053812743,120.46434861022739,3.056192818004617,1.1200849623804694,50821.50000000001,963.990600632584,0.6872452462528682,0.9738531406890737,4.276111882278847
